Compound;FC ([BlancoSurrogados] vs [Control]);Log FC ([BlancoSurrogados] vs [Control]);FC (abs) ([BlancoSurrogados] vs [Control]);Regulation ([BlancoSurrogados] vs [Control]);FC ([ControlSurrogados] vs [Control]);Log FC ([ControlSurrogados] vs [Control]);FC (abs) ([ControlSurrogados] vs [Control]);Regulation ([ControlSurrogados] vs [Control]);FC ([Disolventes] vs [Control]);Log FC ([Disolventes] vs [Control]);FC (abs) ([Disolventes] vs [Control]);Regulation ([Disolventes] vs [Control]);FC ([Docusato] vs [Control]);Log FC ([Docusato] vs [Control]);FC (abs) ([Docusato] vs [Control]);Regulation ([Docusato] vs [Control]);FC ([QC] vs [Control]);Log FC ([QC] vs [Control]);FC (abs) ([QC] vs [Control]);Regulation ([QC] vs [Control]);FC ([Tetra+Docu] vs [Control]);Log FC ([Tetra+Docu] vs [Control]);FC (abs) ([Tetra+Docu] vs [Control]);Regulation ([Tetra+Docu] vs [Control]);FC ([Tetraconazol] vs [Control]);Log FC ([Tetraconazol] vs [Control]);FC (abs) ([Tetraconazol] vs [Control]);Regulation ([Tetraconazol] vs [Control]);BLANCOSURRO1_1: Log2(normalized);BLANCOSURRO1_1_neg: Log2(normalized);BLANCOSURRO1_2: Log2(normalized);BLANCOSURRO1_2_neg: Log2(normalized);BLANCOSURRO1_3: Log2(normalized);BLANCOSURRO1_3_neg: Log2(normalized);BLANCOSURRO2_1: Log2(normalized);BLANCOSURRO2_1_neg: Log2(normalized);BLANCOSURRO2_2: Log2(normalized);BLANCOSURRO2_2_neg: Log2(normalized);BLANCOSURRO2_3: Log2(normalized);BLANCOSURRO2_3_neg: Log2(normalized);BLANCOSURRO3_1: Log2(normalized);BLANCOSURRO3_1_neg: Log2(normalized);BLANCOSURRO3_2: Log2(normalized);BLANCOSURRO3_2_neg: Log2(normalized);C54_1_1: Log2(normalized);C54_1_1_neg: Log2(normalized);C54_1_2: Log2(normalized);C54_1_2_neg: Log2(normalized);C54_2_1: Log2(normalized);C54_2_1_neg: Log2(normalized);C54_2_2: Log2(normalized);C54_2_2_neg: Log2(normalized);ControlSurro_1: Log2(normalized);ControlSurro_1_neg: Log2(normalized);ControlSurro_2: Log2(normalized);ControlSurro_2_neg: Log2(normalized);ControlSurro_3: Log2(normalized);ControlSurro_3_neg: Log2(normalized);ControlSurro_4: Log2(normalized);ControlSurro_4_neg: Log2(normalized);ControlSurro_5: Log2(normalized);ControlSurro_5_neg: Log2(normalized);ControlSurro_7: Log2(normalized);ControlSurro_7_neg: Log2(normalized);ControlSurro_8: Log2(normalized);ControlSurro_8_neg: Log2(normalized);ControlSurro_9: Log2(normalized);ControlSurro_9_neg: Log2(normalized);ControlSurro_10: Log2(normalized);ControlSurro_10_neg: Log2(normalized);Disolv_1: Log2(normalized);Disolv_1_neg: Log2(normalized);Disolv_2: Log2(normalized);Disolv_2_neg: Log2(normalized);Disolv_3: Log2(normalized);Disolv_3_neg: Log2(normalized);Disolv_4: Log2(normalized);Disolv_4_neg: Log2(normalized);Disolv_5: Log2(normalized);Disolv_5_neg: Log2(normalized);Disolv_7: Log2(normalized);Disolv_7_neg: Log2(normalized);Disolv_8: Log2(normalized);Disolv_8_neg: Log2(normalized);Disolv_9: Log2(normalized);Disolv_9_neg: Log2(normalized);Disolv_10: Log2(normalized);Disolv_10_neg: Log2(normalized);D54_1_1: Log2(normalized);D54_1_1_neg: Log2(normalized);D54_1_2: Log2(normalized);D54_1_2_neg: Log2(normalized);D54_2_1: Log2(normalized);D54_2_1_neg: Log2(normalized);D54_2_2: Log2(normalized);D54_2_2_neg: Log2(normalized);D54_3_1: Log2(normalized);D54_3_1_neg: Log2(normalized);D54_3_2: Log2(normalized);D54_3_2_neg: Log2(normalized);QCTODOS1_1: Log2(normalized);QCTODOS1_1_neg: Log2(normalized);QCTODOS1_2: Log2(normalized);QCTODOS1_2_neg: Log2(normalized);QCTODOS1_3: Log2(normalized);QCTODOS1_3_neg: Log2(normalized);QCTODOS2_1: Log2(normalized);QCTODOS2_1_neg: Log2(normalized);QCTODOS2_2: Log2(normalized);QCTODOS2_2_neg: Log2(normalized);QCTODOS2_3: Log2(normalized);QCTODOS2_3_neg: Log2(normalized);QCTODOS3_1: Log2(normalized);QCTODOS3_1_neg: Log2(normalized);QCTODOS3_2: Log2(normalized);QCTODOS3_2_neg: Log2(normalized);TD54_1_1: Log2(normalized);TD54_1_1_neg: Log2(normalized);TD54_1_2: Log2(normalized);TD54_1_2_neg: Log2(normalized);TD54_2_1: Log2(normalized);TD54_2_1_neg: Log2(normalized);TD54_2_2: Log2(normalized);TD54_2_2_neg: Log2(normalized);T54_1_1: Log2(normalized);T54_1_1_neg: Log2(normalized);T54_1_2: Log2(normalized);T54_1_2_neg: Log2(normalized);T54_2_1: Log2(normalized);T54_2_1_neg: Log2(normalized);T54_2_2: Log2(normalized);T54_2_2_neg: Log2(normalized);T54_3_1: Log2(normalized);T54_3_1_neg: Log2(normalized);T54_3_2: Log2(normalized);T54_3_2_neg: Log2(normalized);CAS Number;ChEBI ID;Compound Name;KEGG ID;Mass;Retention Time;HMP ID;Formula;Frequency;Ionization mode;LMP ID
C16 H20 N2 O3;-208,97668;-7,707198;208,97668;down;-208,97668;-7,707198;208,97668;down;-208,97668;-7,707198;208,97668;down;-5,595136;-2,4841733;5,595136;down;-36,241894;-5,1795864;36,241894;down;-5,5031424;-2,4602556;5,5031424;down;-2,1300814;-1,0909085;2,1300814;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,489754;0;15,371811;0;15,379818;0;15,416204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,640669;0;15,691853;0;15,656592;0;15,687184;0;0;0;0;0;0;0;13,613443;0;13,276998;0;13,551348;0;0;0;0;0;14,79157;0;14,491791;0;0;0;12,69218;0;13,116668;0;12,872291;0;13,374089;0;13,198291;0;13,224152;0;13,609986;0;;;C16 H20 N2 O3;;288,1466;9,929997;;C16 H20 N2 O3;20;Esi+;
> limit Esi+11.175999;-3,0999587;-1,632249;3,0999587;down;-3,0999587;-1,632249;3,0999587;down;-3,0999587;-1,632249;3,0999587;down;3,8451777;1,9430503;3,8451777;up;50,222134;5,6502514;50,222134;up;4,0752077;2,0268736;4,0752077;up;36,923798;5,206479;36,923798;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,057992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,839893;0;14,702714;0;0;0;0;0;13,360984;0;0;0;14,3926525;0;14,633506;0;14,468879;0;14,771489;0;14,492603;0;14,485516;0;14,811776;0;14,463588;0;0;0;0;0;14,717194;0;14,555787;0;14,0022;0;13,810672;0;13,558779;0;13,20151;0;13,906138;0;13,585432;0;;;> limit Esi+11.175999;;1457,8402;11,175999;;> limit;20;Esi+;
C10 H15 N O5;-425,70306;-8,733704;425,70306;down;-425,70306;-8,733704;425,70306;down;-425,70306;-8,733704;425,70306;down;1,0621479;0,086984634;1,0621479;up;1,6905191;0,7574663;1,6905191;up;1,0654812;0,09150505;1,0654812;up;1,106651;0,14620018;1,106651;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,249104;0;17,745214;0;17,280201;0;16,595112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,489973;0;17,960636;0;16,996033;0;16,199749;0;18,46938;0;17,732492;0;19,411732;0;19,183958;0;18,68018;0;19,255882;0;18,91187;0;18,23699;0;19,356918;0;18,821177;0;17,802025;0;16,990358;0;18,220818;0;17,588467;0;18,270502;0;17,72114;0;17,918795;0;17,347406;0;17,977789;0;17,323212;0;;;C10 H15 N O5;;229,0949;1,5229999;;C10 H15 N O5;28;Esi+;
> limit Esi+11.401;-1;0;1;down;-1;0;1;down;-1;0;1;down;4,830619;2,272208;4,830619;up;107,049385;6,7421327;107,049385;up;10,39482;3,3777928;10,39482;up;-1;0;1;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,792789;0;13,473705;0;0;0;0;0;0;0;0;0;13,312741;0;13,368234;0;13,5260105;0;13,796851;0;13,511628;0;13,38384;0;13,635944;0;13,338876;0;0;0;0;0;13,542185;0;13,480159;0;0;0;0;0;0;0;0;0;0;0;0;0;;;> limit Esi+11.401;;1589,9165;11,401;;> limit;12;Esi+;
> limit Esi+1.3089998;-148,51007;-7,214417;148,51007;down;-148,51007;-7,214417;148,51007;down;-148,51007;-7,214417;148,51007;down;-1,0423917;-0,059897423;1,0423917;down;-2,0104425;-1,007513;2,0104425;down;1,0593172;0,08313465;1,0593172;up;-1,0015427;-0,002223969;1,0015427;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,470086;0;14,648807;0;14,282002;0;14,314442;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,158926;0;14,216517;0;14,313662;0;14,433846;0;14,351906;0;14,379378;0;0;0;14,029977;0;14,186037;0;14,063647;0;14,005625;0;14,110238;0;14,816084;0;14,098854;0;14,591289;0;14,694738;0;14,545327;0;14,549062;0;14,09416;0;14,326008;0;14,546954;0;14,507918;0;14,495916;0;14,575362;0;;;> limit Esi+1.3089998;;1064,2933;1,3089998;;> limit;27;Esi+;
Phytosphingosine;-1;0;1;down;-1;0;1;down;-1;0;1;down;-1;0;1;down;293,5771;8,197596;293,5771;up;-1;0;1;down;-1;0;1;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,68535;0;16,337605;0;16,184702;0;16,355936;0;16,144897;0;15,923398;0;16,902103;0;16,627535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;Phytosphingosine;C12144;317,2913;13,752999;HMDB04610;C18 H39 N O3;8;Esi+;LMSP01030001
C22 H53 N7 O12;-191,185;-7,5788255;191,185;down;-343,93567;-8,425995;343,93567;down;-343,93567;-8,425995;343,93567;down;1,0108238;0,01553154;1,0108238;up;1,2709903;0,345953;1,2709903;up;-1,1081963;-0,14821339;1,1081963;down;-1,0389452;-0,055119514;1,0389452;down;13,554709;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,915028;0;16,574032;0;17,137402;0;16,7815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,925364;0;17,553555;0;16,365639;0;16,158236;0;16,784187;0;16,511335;0;17,82125;0;17,46235;0;17,375761;0;17,761778;0;17,460175;0;17,375175;0;17,707527;0;17,387142;0;15,820453;0;15,601567;0;17,569159;0;17,231071;0;17,11086;0;16,76653;0;16,489645;0;16,21521;0;17,086956;0;16,781296;0;;;C22 H53 N7 O12;;607,3741;9,520001;;C22 H53 N7 O12;29;Esi+;
C34 H61 N21 O2 S;-208,1353;-7,701378;208,1353;down;-208,1353;-7,701378;208,1353;down;-208,1353;-7,701378;208,1353;down;-1,0582145;-0,08163214;1,0582145;down;1,0607326;0,08506107;1,0607326;up;-1,0713621;-0,0994463;1,0713621;down;-1,0595605;-0,08346605;1,0595605;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,577074;0;15,260479;0;15,5799055;0;15,193563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,65609;0;15,376227;0;15,277977;0;15,010528;0;15,21932;0;14,896806;0;15,810145;0;15,491821;0;15,380563;0;15,822496;0;15,510177;0;15,368132;0;15,745701;0;15,453979;0;15,019852;0;14,82759;0;15,586195;0;15,381813;0;15,446857;0;15,129605;0;15,341102;0;15,081109;0;15,351526;0;15,064743;0;;;C34 H61 N21 O2 S;;827,5041;10,332;;C34 H61 N21 O2 S;28;Esi+;
C5 H7 N O3;-9,354012;-3,2255852;9,354012;down;-10,204604;-3,3511484;10,204604;down;-9,721661;-3,2812028;9,721661;down;13,722055;3,7784247;13,722055;up;14,774198;3,8850079;14,774198;up;3,4928143;1,80439;3,4928143;up;5,3991137;2,4327226;5,3991137;up;0;0;0;0;0;0;0;0;0;0;8,4346285;0;0;0;0;0;0;0;15,031184;0;0;0;14,990812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,228819;0;0;0;0;0;0;0;0;0;8,48784;0;0;0;0;0;0;0;0;0;15,324391;0;15,572582;0;14,654077;0;15,014761;0;14,744677;0;15,063605;0;14,950147;0;15,308802;0;15,352353;0;15,251519;0;15,363484;0;15,378768;0;15,160738;0;15,438305;0;14,763886;0;15,004922;0;14,688305;0;0;0;15,041701;0;0;0;14,740466;0;15,03729;0;14,562182;0;14,844019;0;;;C5 H7 N O3;;129,0437;1,2490001;;C5 H7 N O3;27;Esi+;
C27 H46 N30 O;-98,38917;-6,6204276;98,38917;down;-98,38917;-6,6204276;98,38917;down;-98,38917;-6,6204276;98,38917;down;-1,0097135;-0,013946056;1,0097135;down;1,1373762;0,18570948;1,1373762;up;-1,0254356;-0,036236763;1,0254356;down;-1,0430892;-0,06086254;1,0430892;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,132017;0;13,236014;0;13,312882;0;13,282509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,623767;0;13,314442;0;13,100663;0;13,135228;0;13,022368;0;13,081317;0;13,496978;0;13,522459;0;13,522459;0;13,797864;0;13,667334;0;13,648357;0;13,692725;0;13,550025;0;12,872867;0;12,814182;0;13,550025;0;13,436451;0;13,1947565;0;13,131053;0;13,0121;0;13,06945;0;13,1323395;0;13,175082;0;;;C27 H46 N30 O;;806,4449;10,132002;;C27 H46 N30 O;28;Esi+;
C45 H75 N4 O15;-162,3651;-7,3430977;162,3651;down;-162,3651;-7,3430977;162,3651;down;-162,3651;-7,3430977;162,3651;down;-1,0225259;-0,032137394;1,0225259;down;1,1629108;0,21774054;1,1629108;up;1,0109605;0,015726566;1,0109605;up;-1,0045208;-0,006507397;1,0045208;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,855307;0;14,503639;0;14,924488;0;14,461351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,239488;0;14,81973;0;14,519637;0;14,246963;0;14,709946;0;14,195756;0;15,342665;0;15,041188;0;14,854771;0;15,468943;0;15,045673;0;14,953379;0;15,32878;0;14,938017;0;14,511259;0;14,217503;0;15,249668;0;14,892163;0;14,938431;0;14,614824;0;14,886506;0;14,557284;0;14,671209;0;14,370824;0;;;C45 H75 N4 O15;;911,5221;10,410003;;C45 H75 N4 O15;28;Esi+;
C4 H7 N O2;-117,447495;-6,875872;117,447495;down;-117,447495;-6,875872;117,447495;down;-117,447495;-6,875872;117,447495;down;1,3173679;0,39765835;1,3173679;up;1,3590071;0,44255304;1,3590071;up;1,1157411;0,15800238;1,1157411;up;1,0830303;0,11507368;1,0830303;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,585432;0;13,769218;0;13,795026;0;13,857301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,954243;0;15,060781;0;14,145215;0;14,372662;0;14,416666;0;14,332806;0;14,449343;0;14,656481;0;14,611082;0;14,708545;0;14,656089;0;14,552069;0;14,765752;0;14,695446;0;13,928888;0;13,811576;0;14,177731;0;14,352802;0;14,106808;0;14,41442;0;14,002991;0;13,67827;0;13,69512;0;13,993734;0;;;C4 H7 N O2;;101,0481;1,2579998;;C4 H7 N O2;28;Esi+;
C24 H53 N7 O13;-288,93146;-8,174583;288,93146;down;-288,93146;-8,174583;288,93146;down;-288,93146;-8,174583;288,93146;down;1,0169381;0,02423191;1,0169381;up;1,3098992;0,3894558;1,3098992;up;-1,0715039;-0,09963703;1,0715039;down;-1,0113518;-0,016284943;1,0113518;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,47042;0;16,067959;0;16,608356;0;16,249928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,615494;0;17,06512;0;15,930853;0;15,513389;0;16,351906;0;15,909025;0;17,49839;0;17,086851;0;16,862068;0;17,35399;0;16,927557;0;17,020437;0;17,230059;0;17,045269;0;15,418215;0;15,005493;0;17,26392;0;16,911942;0;16,622381;0;16,3766;0;16,158314;0;15,697429;0;16,725048;0;16,319813;0;;;C24 H53 N7 O13;;647,3692;9,460004;;C24 H53 N7 O13;28;Esi+;
C16 H36 N9 O9;-1;0;1;down;-1;0;1;down;-1;0;1;down;4,784763;2,2584474;4,784763;up;92,458565;6,530735;92,458565;up;9,766346;3,287819;9,766346;up;-1;0;1;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,564031;0;13,537339;0;0;0;0;0;0;0;0;0;12,389361;0;13,125413;0;13,019417;0;13,168672;0;13,087462;0;13,195219;0;13,326149;0;13,180065;0;0;0;0;0;13,095232;0;13,207319;0;0;0;0;0;0;0;0;0;0;0;0;0;;;C16 H36 N9 O9;;498,2628;8,810999;;C16 H36 N9 O9;12;Esi+;
C15 H19 N O6;-350,52625;-8,453379;350,52625;down;-350,52625;-8,453379;350,52625;down;-350,52625;-8,453379;350,52625;down;-6,5203457;-2,7049484;6,5203457;down;-2,0442314;-1,0315585;2,0442314;down;-1,5275422;-0,61121225;1,5275422;down;-1,7706298;-0,8242626;1,7706298;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,138351;0;16,889896;0;16,889385;0;16,709394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,494246;0;17,304342;0;17,179539;0;17,003035;0;14,309974;0;14,303281;0;14,396738;0;15,61764;0;15,471199;0;15,40896;0;14,67237;0;14,568965;0;16,96487;0;16,744808;0;14,547618;0;14,480033;0;14,859535;0;14,917092;0;15,6821165;0;15,372321;0;15,47605;0;15,242282;0;;;C15 H19 N O6;;309,1204;11,067997;;C15 H19 N O6;26;Esi+;
Inositol phosphate;-156,72266;-7,29207;156,72266;down;-156,72266;-7,29207;156,72266;down;-156,72266;-7,29207;156,72266;down;1,0029399;0,004235268;1,0029399;up;1,0954648;0,13154316;1,0954648;up;1,1358832;0,18381453;1,1358832;up;1,1323353;0,17930126;1,1323353;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,656034;0;14,566054;0;14,542186;0;14,572286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,787444;0;14,720992;0;14,444174;0;14,446114;0;14,662334;0;14,494606;0;14,619188;0;14,975535;0;14,943614;0;14,750498;0;14,978264;0;14,841466;0;14,899357;0;14,769889;0;14,861426;0;14,739728;0;15,08568;0;15,120237;0;14,804535;0;14,666779;0;15,191792;0;14,9737425;0;15,101441;0;14,918164;0;;;Inositol phosphate;;260,0298;1,2420002;HMDB02985;C6 H13 O9 P;28;Esi+;
C26 H23 N4 O17;-417,5488;-8,705801;417,5488;down;-417,5488;-8,705801;417,5488;down;-417,5488;-8,705801;417,5488;down;1,0774487;0,107619286;1,0774487;up;1,0846492;0,11722851;1,0846492;up;1,0548646;0,07705784;1,0548646;up;1,032154;0,04565811;1,032154;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,521923;0;17,109913;0;17,721292;0;17,293283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,939396;0;17,494097;0;17,662745;0;17,315556;0;17,888672;0;17,460585;0;17,832031;0;17,529346;0;17,434505;0;18,017826;0;17,552744;0;17,482098;0;17,800407;0;17,51952;0;17,831438;0;17,418346;0;17,693977;0;17,319107;0;17,96163;0;17,422861;0;17,6973;0;17,285719;0;17,505857;0;17,14414;0;;;C26 H23 N4 O17;;663,1051;2,2739992;;C26 H23 N4 O17;28;Esi+;
C32 H52 N19 O4;-98,88716;-6,6277113;98,88716;down;-98,88716;-6,6277113;98,88716;down;-98,88716;-6,6277113;98,88716;down;-1,1025962;-0,14090443;1,1025962;down;1,050453;0,07101154;1,050453;up;-1,1049349;-0,14396143;1,1049349;down;-1,1457422;-0,19628239;1,1457422;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,25488;0;13,243472;0;13,28598;0;13,237359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,426134;0;13,210519;0;12,905198;0;12,931661;0;12,779924;0;12,588246;0;13,312882;0;13,167575;0;13,254438;0;13,692288;0;13,422196;0;13,4334545;0;13,47624;0;13,420487;0;12,59782;0;12,520864;0;13,362492;0;13,388824;0;13,007028;0;12,8841715;0;12,889314;0;12,577665;0;12,950921;0;12,868052;0;;;C32 H52 N19 O4;;766,4487;10,188998;;C32 H52 N19 O4;28;Esi+;
C19 H24 N5 O4;-23,756777;-4,570267;23,756777;down;-129,56415;-7,017523;129,56415;down;-129,56415;-7,017523;129,56415;down;-1,2302879;-0,29899597;1,2302879;down;1,3467361;0,4294672;1,3467361;up;-1,3294988;-0,41088247;1,3294988;down;-1,0477878;-0,06734657;1,0477878;down;0;0;13,003343;0;12,980318;0;13,172428;0;0;0;0;0;0;0;0;0;14,300424;0;14,286342;0;13,808059;0;13,745359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,110647;0;14,0007925;0;13,750497;0;13,449793;0;12,795634;0;12,51496;0;14,868968;0;14,680359;0;14,888838;0;15,108321;0;14,916812;0;14,812327;0;15,0219345;0;14,854284;0;13,095726;0;12,831505;0;13,466331;0;13,45956;0;13,984596;0;13,820378;0;13,639567;0;13,6021185;0;14,276633;0;14,078817;0;;;C19 H24 N5 O4;;386,1796;14,194;;C19 H24 N5 O4;31;Esi+;
C21 H39 N11 O16;-374,7148;-8,549649;374,7148;down;-374,7148;-8,549649;374,7148;down;-374,7148;-8,549649;374,7148;down;-1,071846;-0,100097656;1,071846;down;-1,2759072;-0,3515234;1,2759072;down;-1,0545634;-0,07664585;1,0545634;down;-1,0163904;-0,023454666;1,0163904;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,58695;0;16,684557;0;17,486143;0;16,63954;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,175316;0;16,443607;0;17,259605;0;16,519636;0;17,326605;0;16,669855;0;17,250751;0;16,291008;0;16,044693;0;16,828459;0;16,18191;0;16,002771;0;16,508692;0;16,06173;0;17,349903;0;16,633776;0;17,22386;0;16,576485;0;17,357079;0;16,578209;0;17,411882;0;16,702957;0;17,464481;0;16,799725;0;;;C21 H39 N11 O16;;701,2558;1,287;;C21 H39 N11 O16;28;Esi+;
C6 H16 N6 O S;-1;0;1;down;-1;0;1;down;-1;0;1;down;22,153904;4,469489;22,153904;up;162,69557;7,346031;162,69557;up;10,647661;3,4124646;10,647661;up;2,1115215;1,078283;2,1115215;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,458022;0;13,987618;0;0;0;0;0;12,69675;0;13,491478;0;14,434237;0;14,913357;0;14,663447;0;14,702172;0;14,671265;0;14,790552;0;14,921375;0;14,44009;0;0;0;0;0;13,541702;0;13,758015;0;0;0;0;0;0;0;0;0;0;0;12,939395;0;;;C6 H16 N6 O S;;220,1112;15,692;;C6 H16 N6 O S;15;Esi+;
C9 H11 O4;-128,56664;-7,0063725;128,56664;down;-128,56664;-7,0063725;128,56664;down;-128,56664;-7,0063725;128,56664;down;-11,246382;-3,491389;11,246382;down;-1,5651256;-0,6462784;1,5651256;down;-2,759482;-1,4643974;2,759482;down;-1,8048449;-0,8518748;1,8048449;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,953105;0;14,31946;0;13,883884;0;13,894533;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,18224;0;0;0;13,906703;0;14,090857;0;0;0;14,564507;0;14,537279;0;14,531321;0;14,457125;0;14,549424;0;14,609352;0;14,512493;0;15,093128;0;0;0;14,60322;0;14,639454;0;0;0;14,860553;0;15,158689;0;15,130047;0;14,275542;0;14,429145;0;;;C9 H11 O4;;183,0651;1,3899999;;C9 H11 O4;22;Esi+;
C14 H23 N11 O7;-346,98013;-8,438709;346,98013;down;-346,98013;-8,438709;346,98013;down;-346,98013;-8,438709;346,98013;down;1,0190222;0,02718544;1,0190222;up;-1,0451605;-0,06372452;1,0451605;down;-1,2163138;-0,28251553;1,2163138;down;-1,1981511;-0,2608099;1,1981511;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,087029;0;16,529476;0;17,206709;0;16,68646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,969667;0;16,421686;0;17,164799;0;16,806171;0;17,30768;0;16,920736;0;17,208948;0;16,617998;0;16,574697;0;16,96051;0;16,536127;0;16,4543;0;17,004122;0;16,643066;0;16,883394;0;16,467955;0;16,19687;0;15,701334;0;17,210556;0;16,616707;0;16,432364;0;15,996938;0;16,129686;0;15,748534;0;;;C14 H23 N11 O7;;457,1777;1,3209995;;C14 H23 N11 O7;28;Esi+;
C15 H17 N O2 Esi+9.642999;-1;0;1;down;-1;0;1;down;-1;0;1;down;-1;0;1;down;118,364845;6,887097;118,364845;up;-1;0;1;down;-1;0;1;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,289947;0;13,97316;0;13,630039;0;14,295339;0;13,959277;0;13,061371;0;13,799079;0;13,18534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;C15 H17 N O2 Esi+9.642999;;243,126;9,642999;;C15 H17 N O2;8;Esi+;
